"Country or Area","Year","Area","Sex","City","City type","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Poland","2017","Total","Both Sexes","Bialystok","City proper","Estimate - de jure","Final figure, complete","2018","294362","1,2"
"Poland","2017","Total","Both Sexes","Bielsko-Biala","City proper","Estimate - de jure","Final figure, complete","2018","170005","1,2"
"Poland","2017","Total","Both Sexes","Bydgoszcz","City proper","Estimate - de jure","Final figure, complete","2018","352870","1,2"
"Poland","2017","Total","Both Sexes","Bytom","City proper","Estimate - de jure","Final figure, complete","2018","167359","1,2"
"Poland","2017","Total","Both Sexes","Chorzów","City proper","Estimate - de jure","Final figure, complete","2018","108205","1,2"
"Poland","2017","Total","Both Sexes","Czestochowa","City proper","Estimate - de jure","Final figure, complete","2018","223373","1,2"
"Poland","2017","Total","Both Sexes","Dabrowa Górnicza","City proper","Estimate - de jure","Final figure, complete","2018","120478","1,2"
"Poland","2017","Total","Both Sexes","Elblag","City proper","Estimate - de jure","Final figure, complete","2018","118925","1,2"
"Poland","2017","Total","Both Sexes","Gdansk","City proper","Estimate - de jure","Final figure, complete","2018","463352","1,2"
"Poland","2017","Total","Both Sexes","Gdynia","City proper","Estimate - de jure","Final figure, complete","2018","243910","1,2"
"Poland","2017","Total","Both Sexes","Gliwice","City proper","Estimate - de jure","Final figure, complete","2018","180193","1,2"
"Poland","2017","Total","Both Sexes","Gorzów Wielkopolski","City proper","Estimate - de jure","Final figure, complete","2018","122299","1,2"
"Poland","2017","Total","Both Sexes","Grudziadz","City proper","Estimate - de jure","Final figure, complete","2018","94068","1,2"
"Poland","2017","Total","Both Sexes","Jastrzebie-Zdrój","City proper","Estimate - de jure","Final figure, complete","2018","88741","1,2"
"Poland","2017","Total","Both Sexes","Kalisz","City proper","Estimate - de jure","Final figure, complete","2018","100812","1,2"
"Poland","2017","Total","Both Sexes","Katowice","City proper","Estimate - de jure","Final figure, complete","2018","301202","1,2"
"Poland","2017","Total","Both Sexes","Kielce","City proper","Estimate - de jure","Final figure, complete","2018","195655","1,2"
"Poland","2017","Total","Both Sexes","Koszalin","City proper","Estimate - de jure","Final figure, complete","2018","105989","1,2"
"Poland","2017","Total","Both Sexes","Kraków","City proper","Estimate - de jure","Final figure, complete","2018","759104","1,2"
"Poland","2017","Total","Both Sexes","Legnica","City proper","Estimate - de jure","Final figure, complete","2018","98961","1,2"
