Date,Rate,ISO Code From,ISO Code To
"3/1/2019 Friday","3,295.30000",USD,VES
"3/3/2019 Sunday","3,295.30000",USD,VES
"3/4/2019 Monday","3,294.90500",USD,VES
"3/5/2019 Tuesday","3,294.81000",USD,VES
"3/6/2019 Wednesday","3,294.90500",USD,VES
"3/7/2019 Thursday","3,293.16000",USD,VES
"3/8/2019 Friday","3,292.50000",USD,VES
"3/10/2019 Sunday","3,294.00000",USD,VES
"3/11/2019 Monday","3,293.84000",USD,VES
"3/12/2019 Tuesday","3,293.50000",USD,VES
"3/13/2019 Wednesday","3,293.50000",USD,VES
"3/14/2019 Thursday","3,294.00000",USD,VES
"3/15/2019 Friday","3,291.50000",USD,VES
"3/17/2019 Sunday","3,291.50000",USD,VES
"3/18/2019 Monday","3,290.87000",USD,VES
"3/19/2019 Tuesday","3,290.50000",USD,VES
"3/20/2019 Wednesday","3,291.50000",USD,VES
"3/21/2019 Thursday","3,293.27000",USD,VES
"3/22/2019 Friday","3,291.42000",USD,VES
"3/24/2019 Sunday","3,291.50000",USD,VES
"3/25/2019 Monday","3,288.50000",USD,VES
"3/26/2019 Tuesday","3,288.50000",USD,VES
"3/27/2019 Wednesday","3,288.75000",USD,VES
"3/28/2019 Thursday","3,289.00000",USD,VES
"3/29/2019 Friday","3,288.70000",USD,VES
"3/31/2019 Sunday","3,288.70000",USD,VES
"4/1/2019 Monday","3,288.50000",USD,VES
"4/2/2019 Tuesday","3,290.18000",USD,VES
"4/3/2019 Wednesday","3,290.00000",USD,VES
"4/4/2019 Thursday","3,292.50000",USD,VES
"4/5/2019 Friday","3,294.50000",USD,VES
"4/7/2019 Sunday","3,292.00000",USD,VES
"4/8/2019 Monday","3,295.50000",USD,VES
"4/9/2019 Tuesday","3,302.50000",USD,VES
"4/10/2019 Wednesday","3,305.50000",USD,VES
"4/11/2019 Thursday","3,306.00000",USD,VES
"4/12/2019 Friday","3,308.50000",USD,VES
"4/14/2019 Sunday","3,306.00000",USD,VES
"4/15/2019 Monday","3,312.50000",USD,VES
"4/16/2019 Tuesday","4,091.50000",USD,VES
"4/17/2019 Wednesday","4,105.50000",USD,VES
"4/18/2019 Thursday","4,105.52500",USD,VES
"4/19/2019 Friday","4,105.52500",USD,VES
"4/21/2019 Sunday","4,105.52500",USD,VES
"4/22/2019 Monday","4,105.53500",USD,VES
"4/23/2019 Tuesday","5,189.50000",USD,VES
"4/24/2019 Wednesday","5,190.50000",USD,VES
"4/25/2019 Thursday","5,191.37000",USD,VES
"4/26/2019 Friday","5,190.50000",USD,VES
"4/28/2019 Sunday","5,190.50000",USD,VES
